Order ID,order_date,City,Revenue,Discount,Quantity,Customer Age,Is Member,Channel,Sales Channel,Currency,Sales Rep,Email,Notes,
ORD-1545,02/03/2026,Bengaluru,$662.01,5.2%,7.0,26.0,Yes,Store,Store,INR,S. Bose,customer545@example.com,,
ORD-1148,2025-06-10,Delhi,"$1,200.98",1.5%,4.0,44.0,Yes,Partner,Partner,INR,P. Nair ,customer148@example.com,,
ORD-1478,2025-06-18,Mumbai,$285.95,4.2%,10.0,22.0,No,Online,Online,INR,S. Bose,customer478@example.com,,
ORD-1786,2025-06-30,bengaluru,"$1,180.50",13.7%,6.0,22.0,Yes,Partner,Partner,INR,  M. Khan,customer786@example.com,,
ORD-1733,2026-03-08,Chennai,$562.70,23.8%,3.0,37.0,No,Online,Online,INR,R. Iyer ,customer733@example.com,,
ORD-1191,2025-06-08,Mumbai,"$1,140.77",30.9%,10.0,,No,Online,Online,INR,P. Nair ,customer191@example.com,,
ORD-1791,2025-11-16,unknown,$328.07,14.4%,10.0,13.0,Yes,Online,Online,INR,  M. Khan,customer791@example.com,,
ORD-1816,2025-12-02,Chennai,$525.15,8.8%,10.0,56.0,Yes,Online,Online,INR,P. Nair ,customer816@example.com,,
ORD-1489,2025-08-15,Delhi,$873.49,5.1%,10.0,40.0,No,Online,Online,INR,R. Iyer ,customer489@example.com,,
ORD-1258,2026-03-15,Mumbai,$941.20,4.3%,1.0,25.0,No,Online,Online,INR,A. Sharma,customer258@example.com,,
ORD-1312,2025-08-01,Delhi,$903.17,16.3%,3.0,22.0,No,Online,Online,INR,P. Nair ,customer312@example.com,,
ORD-1777,2025-04-19,Bengaluru,"$1,086.21",19.9%,6.0,,Yes,Partner,Partner,INR,  M. Khan,customer777@example.com,,
ORD-1560,2025-11-04,MUMBAI,"$1,503.96",17.2%,7.0,40.0,No,Online,Online,INR,  M. Khan,customer560@example.com,,
ORD-1652,2025-12-02, Mumbai ,$574.71,12.9%,2.0,,No,Online,Online,INR,A. Sharma,customer652@example.com,,
ORD-1695,12/07/2025,bengaluru,$526.78,16.0%,10.0,52.0,No,Online,Online,INR,A. Sharma,customer695@example.com,,
ORD-1427,2026-01-20,Chennai,"$1,569.66",19.0%,7.0,33.0,No,Store,Store,INR,S. Bose,customer427@example.com,,
ORD-1334,2025-07-26,delhi,$491.54,13.9%,8.0,49.0,Yes,Online,Online,INR,P. Nair ,customer334@example.com,,
ORD-1300,2025-05-14,delhi,"$1,749.26",32.5%,6.0,23.0,Yes,Online,Online,INR,R. Iyer ,customer300@example.com,,
ORD-1568,2025-12-04,Chennai,$732.56,20.3%,5.0,40.0,Yes,Partner,Partner,INR,S. Bose,customer568@example.com,,
ORD-1011,2026-03-27,unknown,"$1,137.10",4.4%,999.0,50.0,Yes,Online,Online,INR,P. Nair ,customer11@example.com,,
ORD-1811,2026-03-23,Kolkata,"$1,575.60",2.3%,3.0,36.0,No,Online,Online,INR,R. Iyer ,customer811@example.com,,
ORD-1126,2025-06-12, Mumbai ,$473.99,22.9%,2.0,18.0,No,Store,Store,INR,R. Iyer ,customer126@example.com,,
ORD-1354,2026-02-16,Chennai,"$1,197.13",19.6%,6.0,45.0,No,Store,Store,INR,R. Iyer ,customer354@example.com,,
ORD-1203,2025-05-12,Mumbai,"$1,038.32",20.2%,5.0,40.0,Yes,Store,Store,INR,  M. Khan,customer203@example.com,,
ORD-1753,15/05/2025,chennai,"$1,640.22",4.1%,7.0,39.0,No,Online,Online,INR,  M. Khan,customer753@example.com,,
ORD-1769,2025-04-21,Bengaluru,$730.98,4.6%,9.0,44.0,No,Store,Store,INR,R. Iyer ,customer769@example.com,,
ORD-1338,2025-05-26,Kolkata,"$1,958.74",6.6%,2.0,,No,Online,Online,INR,S. Bose,customer338@example.com,,
ORD-1060,2025-05-31,Bengaluru,"$1,554.58",7.4%,10.0,26.0,Yes,Online,Online,INR,  M. Khan,customer60@example.com,,
ORD-1610,2025-06-05,bengaluru,"$2,392.41",15.6%,5.0,23.0,No,Online,Online,INR,  M. Khan,customer610@example.com,,
ORD-1574,2026-01-13,Mumbai,"$1,037.12",16.5%,3.0,53.0,No,Online,Online,INR,R. Iyer ,customer574@example.com,,
ORD-1012,06/10/2025,bengaluru,N/A,2.7%,6.0,21.0,No,Partner,Partner,INR,P. Nair ,customer12@example.com,,
ORD-1893,2026-03-21,Kolkata,$524.60,15.9%,10.0,25.0,Yes,Online,Online,INR,A. Sharma,customer893@example.com,,
ORD-1798,2026-02-08, Mumbai ,$793.29,14.4%,9.0,33.0,Yes,Online,Online,INR,R. Iyer ,customer798@example.com,,
ORD-1059,2025-12-13,Delhi,"$1,774.80",19.9%,999.0,38.0,No,Store,Store,INR,  M. Khan,customer59@example.com,,
ORD-1250,2025-07-24,unknown,$455.79,24.5%,7.0,45.0,Yes,Online,Online,INR,A. Sharma,customer250@example.com,,
ORD-1479,2025-09-04,Mumbai,$885.76,8.5%,4.0,53.0,No,Store,Store,INR,A. Sharma,customer479@example.com,,
ORD-1898,2025-03-31,chennai,$980.69,20.9%,4.0,25.0,No,Store,Store,INR,S. Bose,customer898@example.com,,
ORD-1467,2025-06-23,Bengaluru,$779.14,10.8%,1.0,42.0,No,Online,Online,INR,  M. Khan,customer467@example.com,,
ORD-1739,2025-09-05,Bengaluru,$438.75,11.9%,5.0,39.0,Yes,Online,Online,INR,P. Nair ,customer739@example.com,,
ORD-1504,2026-03-18,delhi,$423.24,5.6%,3.0,32.0,Yes,Store,Store,INR,A. Sharma,customer504@example.com,,
ORD-1636,2026-01-21,Bengaluru,$761.58,23.7%,7.0,35.0,No,Online,Online,INR,A. Sharma,customer636@example.com,,
ORD-1133,2025-07-01,delhi,"$1,667.55",9.5%,5.0,31.0,No,Store,Store,INR,  M. Khan,customer133@example.com,,
ORD-1368,2025-03-01,Kolkata,$738.21,23.9%,9.0,39.0,No,Online,Online,INR,S. Bose,customer368@example.com,,
ORD-1121,2025-10-23,Bengaluru,$249.97,19.9%,7.0,38.0,Yes,Store,Store,INR,S. Bose,customer121@example.com,,
ORD-1886,2026-01-11,Bengaluru,$758.08,30.5%,5.0,47.0,Yes,Online,Online,INR,P. Nair ,customer886@example.com,,
ORD-1165,2025-03-21,Mumbai,$129.39,22.7%,2.0,54.0,No,Online,Online,INR,P. Nair ,customer165@example.com,,
ORD-1406,2025-06-02,Mumbai,"$1,226.43",13.3%,7.0,48.0,No,Online,Online,INR,  M. Khan,customer406@example.com,,
ORD-1870,2025-05-18,Delhi,$301.91,17.8%,11.0,77.0,No,Store,Store,INR,  M. Khan,customer870@example.com,,
ORD-1807,2025-12-04,delhi,$642.18,22.4%,11.0,43.0,Yes,Online,Online,INR,P. Nair ,customer807@example.com,,
ORD-1709,2025-10-20,Mumbai,"$1,858.59",28.0%,7.0,24.0,Yes,Store,Store,INR,  M. Khan,customer709@example.com,,
ORD-1199,2026-02-15,DELHI,$899.75,25.8%,5.0,43.0,No,Online,Online,INR,P. Nair ,customer199@example.com,,
ORD-1773,2026-02-28,bengaluru,$828.44,8.4%,9.0,37.0,Yes,Online,Online,INR,A. Sharma,customer773@example.com,,
ORD-1447,2025-07-29,Delhi,$425.24,30.6%,3.0,34.0,No,Online,Online,INR,A. Sharma,customer447@example.com,,
ORD-1736,2026-03-14,Kolkata,"$1,282.39",24.8%,7.0,60.0,No,Online,Online,INR,A. Sharma,customer736@example.com,,
ORD-1023,2025-07-22,chennai,"$1,134.42",5.9%,8.0,30.0,No,Online,Online,INR,P. Nair ,customer23@example.com,,
ORD-1565,2025-08-05,Bengaluru,"$1,072.75",29.4%,999.0,29.0,No,Partner,Partner,INR,  M. Khan,customer565@example.com,,
ORD-1808,2025-09-11,delhi,"$1,557.94",8.9%,10.0,46.0,Yes,Store,Store,INR,S. Bose,customer808@example.com,,
ORD-1874,2025-11-24,Mumbai,"$1,021.70",19.5%,6.0,26.0,No,Online,Online,INR,R. Iyer ,customer874@example.com,,
ORD-1587,2025-09-30,chennai,"$1,154.38",25.2%,4.0,,No,Store,Store,INR,P. Nair ,customer587@example.com,,
ORD-1480,2025-09-30,Delhi,"$1,625.65",2.7%,3.0,30.0,No,Online,Online,INR,  M. Khan,customer480@example.com,,
ORD-1613,2025-04-17,Chennai,$965.89,0.5%,2.0,,No,Store,Store,INR,R. Iyer ,customer613@example.com,,
ORD-1572,2025-11-07,Chennai,$501.83,23.3%,3.0,25.0,No,Online,Online,INR,P. Nair ,customer572@example.com,,
ORD-1247,2026-02-24,Kolkata,"$1,569.39",5.7%,10.0,45.0,No,Online,Online,INR,S. Bose,customer247@example.com,,
ORD-1329,2025-12-24,Chennai,$753.69,2.6%,9.0,30.0,Yes,Store,Store,INR,P. Nair ,customer329@example.com,,
ORD-1803,2025-05-28,Bengaluru,"$1,263.61",10.6%,1.0,15.0,Yes,Online,Online,INR,R. Iyer ,customer803@example.com,,
ORD-1502,2025-08-24,delhi,"$1,380.65",33.3%,10.0,32.0,No,Online,Online,INR,A. Sharma,customer502@example.com,,
ORD-1448,2025-09-24,DELHI,N/A,18.9%,11.0,,No,Store,Store,INR,P. Nair ,customer448@example.com,,
ORD-1425,2025-09-25,Delhi,"$1,078.53",8.3%,8.0,44.0,No,Online,Online,INR,P. Nair ,customer425@example.com,,
ORD-1166,2025-09-14,DELHI,"$1,264.09",7.8%,2.0,41.0,No,Online,Online,INR,  M. Khan,customer166@example.com,,
ORD-1431,2026-02-10,-,"$1,296.05",30.8%,5.0,54.0,No,Store,Store,INR,P. Nair ,customer432@example.com,,
ORD-1726,2031-08-14,DELHI,"$1,440.02",2.0%,4.0,32.0,No,Online,Online,INR,R. Iyer ,customer726@example.com,,
ORD-1462,2025-11-12,Chennai,$408.98,11.8%,8.0,52.0,Yes,Online,Online,INR,A. Sharma,customer462@example.com,,
ORD-1409,2025-11-12,delhi,$497.79,10.6%,9.0,41.0,Yes,Partner,Partner,INR,R. Iyer ,customer409@example.com,,
ORD-1361,2025-10-31,Delhi,$995.49,24.6%,10.0,51.0,No,Online,Online,INR,  M. Khan,customer361@example.com,,
ORD-1878,2025-04-09,mumbai,$520.56,30.7%,6.0,29.0,Yes,Online,Online,INR,  M. Khan,customer878@example.com,,
ORD-1888,2025-08-12,Delhi,"$1,552.43",1.9%,5.0,58.0,No,Online,Online,INR,R. Iyer ,customer888@example.com,,
ORD-1821,2025-04-23,Delhi,"$2,116.70",13.1%,1.0,48.0,Yes,Online,Online,INR,A. Sharma,customer821@example.com,,
ORD-1710,2025-10-16,Bengaluru,"$2,067.13",2.5%,9.0,45.0,No,Online,Online,INR,A. Sharma,customer710@example.com,,
ORD-1344,2025-10-04,-,"$2,381.21",12.1%,1.0,37.0,No,Store,Store,INR,S. Bose,customer344@example.com,,
ORD-1288,2025-09-05,Mumbai,$311.49,15.2%,5.0,36.0,No,Online,Online,INR,A. Sharma,customer288@example.com,,
ORD-1385,2025-12-14, Mumbai ,"$2,801.33",12.8%,5.0,43.0,Yes,Store,Store,INR,P. Nair ,customer385@example.com,,
ORD-1846,2025-07-29,Bengaluru,$767.76,31.1%,11.0,53.0,Yes,Online,Online,INR,  M. Khan,customer846@example.com,,
ORD-1804,2025-05-25,Mumbai,$907.85,18.8%,7.0,40.0,No,Store,Store,INR,S. Bose,customer804@example.com,,
ORD-1201,2025-11-10,-,"$1,010.14",34.6%,1.0,,Yes,Store,Store,INR,S. Bose,customer201@example.com,,
ORD-1788,2025-05-16,Delhi,"$1,657.89",19.5%,7.0,29.0,No,Online,Online,INR,S. Bose,customer788@example.com,,
ORD-1869,2025-03-12,Mumbai,$475.13,32.3%,6.0,14.0,No,Partner,Partner,INR,P. Nair ,customer869@example.com,,
ORD-1420,2025-03-21,mumbai,$326.10,1.9%,6.0,41.0,No,Store,Store,INR,R. Iyer ,customer420@example.com,,
ORD-1696,2025-10-11,Bengaluru,$738.81,22.9%,3.0,52.0,No,Partner,Partner,INR,S. Bose,customer696@example.com,,
ORD-1035,2025-07-08,Chennai,"$1,080.07",19.4%,2.0,,Yes,Store,Store,INR,P. Nair ,customer35@example.com,,
ORD-1481,2025-04-21,MUMBAI,"$1,238.51",25.3%,8.0,,Yes,Store,Store,INR,A. Sharma,customer481@example.com,,
ORD-1626,2025-12-19,Bengaluru,$886.87,27.7%,9.0,26.0,Yes,Store,Store,INR,P. Nair ,customer626@example.com,,
ORD-1711,2025-09-15,delhi,"$1,054.81",15.4%,8.0,33.0,No,Online,Online,INR,A. Sharma,customer711@example.com,,
ORD-1653,2025-12-18,mumbai,N/A,20.2%,11.0,33.0,Yes,Store,Store,INR,P. Nair ,customer653@example.com,,
ORD-1176,2025-06-30,Bengaluru,$748.55,6.5%,999.0,31.0,No,Store,Store,INR,R. Iyer ,customer176@example.com,,
ORD-1281,2025-08-10,Bengaluru,$543.30,10.8%,2.0,43.0,No,Store,Store,INR,R. Iyer ,customer281@example.com,,
ORD-1302,2026-04-03,mumbai,"$1,631.09",16.2%,5.0,28.0,No,Online,Online,INR,  M. Khan,customer302@example.com,,
ORD-1517,2026-02-21,Mumbai,"$1,164.26",30.0%,3.0,25.0,Yes,Online,Online,INR,A. Sharma,customer517@example.com,,
ORD-1512,2025-10-31,Chennai,$402.67,31.4%,9.0,36.0,No,Store,Store,INR,  M. Khan,customer512@example.com,,
ORD-1664,2026-01-03,Bengaluru,"$1,677.58",29.7%,8.0,39.0,No,Store,Store,INR,A. Sharma,customer664@example.com,,
ORD-1386,2025-06-07,mumbai,$454.92,28.2%,6.0,15.0,No,Online,Online,INR,S. Bose,customer386@example.com,,
ORD-1615,2025-03-22,Chennai,N/A,1.6%,4.0,,Yes,Store,Store,INR,R. Iyer ,customer615@example.com,,
ORD-1628,2025-06-16,Kolkata,"$1,121.26",2.1%,11.0,47.0,Yes,Online,Online,INR,  M. Khan,customer628@example.com,,
ORD-1365,2025-11-17,Bengaluru,$683.78,35.0%,8.0,,No,Online,Online,INR,S. Bose,customer365@example.com,,
ORD-1193,2026-01-30,Delhi,"$1,250.04",4.4%,10.0,29.0,No,Online,Online,INR,P. Nair ,customer193@example.com,,
ORD-1117,2025-05-16,Bengaluru,"$1,502.71",32.0%,7.0,42.0,No,Online,Online,INR,  M. Khan,customer117@example.com,,
ORD-1755,2025-09-12,Kolkata,"$1,027.54",21.6%,6.0,27.0,No,Online,Online,INR,  M. Khan,customer755@example.com,,
ORD-1275,2025-11-06,Chennai,$429.23,31.2%,7.0,,No,Online,Online,INR,P. Nair ,customer275@example.com,,
ORD-1472,2026-02-05,Bengaluru,"$1,249.48",34.3%,8.0,35.0,No,Online,Online,INR,R. Iyer ,customer472@example.com,,
ORD-1404,2025-05-16,Bengaluru,"$2,475.52",33.9%,7.0,47.0,Yes,Online,Online,INR,R. Iyer ,customer404@example.com,,
ORD-1390,2025-06-05,Kolkata,$604.73,24.4%,1.0,21.0,Yes,Online,Online,INR,R. Iyer ,customer390@example.com,,
ORD-1680,2025-12-09,delhi,"$1,257.58",11.9%,4.0,59.0,No,Store,Store,INR,S. Bose,customer680@example.com,,
ORD-1482,2026-01-17,Delhi,"$1,059.70",33.3%,10.0,52.0,Yes,Online,Online,INR,P. Nair ,customer482@example.com,,
ORD-1668,2025-03-08,MUMBAI,"$1,649.29",9.5%,11.0,69.0,No,Online,Online,INR,P. Nair ,customer668@example.com,,
ORD-1198,2025-06-07,Kolkata,"$1,735.50",4.0%,5.0,53.0,No,Partner,Partner,INR,A. Sharma,customer198@example.com,,
ORD-1071,2025-08-07,MUMBAI,"$1,158.30",32.2%,8.0,,No,Online,Online,INR,P. Nair ,customer71@example.com,,
ORD-1839,2025-11-06,Mumbai,$335.99,13.3%,1.0,37.0,No,Online,Online,INR,A. Sharma,customer839@example.com,,
ORD-1509,2026-03-24,bengaluru,$751.37,3.5%,9.0,36.0,Yes,Online,Online,INR,P. Nair ,customer509@example.com,,
ORD-1341,2026-02-17,bengaluru,"$1,461.52",5.0%,7.0,45.0,Yes,Store,Store,INR,A. Sharma,customer341@example.com,,
ORD-1037,2026-01-15,bengaluru,$694.78,7.7%,4.0,,No,Store,Store,INR,A. Sharma,customer37@example.com,,
ORD-1510,2025-10-23,Delhi,$481.62,16.6%,7.0,29.0,Yes,Online,Online,INR,S. Bose,customer510@example.com,,
ORD-1151,2026-01-07,mumbai,$620.73,17.2%,8.0,37.0,Yes,Store,Store,INR,R. Iyer ,customer151@example.com,,
ORD-1228,2025-11-28,Bengaluru,"$1,499.21",24.3%,11.0,38.0,Yes,Online,Online,INR,P. Nair ,customer228@example.com,,
ORD-1084,2025-03-27,bengaluru,$632.50,5.4%,8.0,47.0,Yes,Online,Online,INR,  M. Khan,customer84@example.com,,
ORD-1614,02/09/2025,Chennai,"$1,374.27",22.2%,8.0,38.0,No,Online,Online,INR,A. Sharma,customer614@example.com,,
ORD-1212,2026-01-28,Bengaluru,$380.14,1.5%,1.0,22.0,Yes,Online,Online,INR,  M. Khan,customer212@example.com,,
ORD-1634,2025-06-19,Kolkata,$575.56,3.1%,2.0,51.0,Yes,Online,Online,INR,A. Sharma,customer634@example.com,,
ORD-1766,2025-11-27,Delhi,$741.84,1.7%,4.0,,No,Store,Store,INR,P. Nair ,customer766@example.com,,
ORD-1283,2025-06-24,MUMBAI,"$1,271.14",32.8%,4.0,34.0,No,Online,Online,INR,R. Iyer ,customer283@example.com,,
ORD-1293,2026-01-03, Mumbai ,$461.15,16.6%,2.0,48.0,No,Online,Online,INR,S. Bose,customer293@example.com,,
ORD-1355,2025-10-06,Delhi,"$1,520.90",33.8%,4.0,38.0,Yes,Online,Online,INR,P. Nair ,customer355@example.com,,
ORD-1642,2025-07-14,Kolkata,$859.85,8.4%,1.0,63.0,No,Store,Store,INR,R. Iyer ,customer642@example.com,,
ORD-1836,2025-09-22,mumbai,"$2,054.42",0.3%,7.0,47.0,No,Online,Online,INR,P. Nair ,customer836@example.com,,
ORD-1544,2025-10-16,Delhi,$542.56,4.7%,1.0,51.0,No,Online,Online,INR,P. Nair ,customer544@example.com,,
ORD-1661,2026-02-25,Mumbai,"$1,388.62",9.0%,11.0,53.0,No,Partner,Partner,INR,S. Bose,customer661@example.com,,
ORD-1620,2026-01-17,Bengaluru,"$1,826.00",16.7%,5.0,43.0,No,Online,Online,INR,  M. Khan,customer620@example.com,,
ORD-1207,2025-03-02,Delhi,$389.65,8.5%,9.0,37.0,Yes,Store,Store,INR,R. Iyer ,customer207@example.com,,
ORD-1147,08/04/2025,Bengaluru,$305.89,18.6%,-1.0,20.0,No,Online,Online,INR,R. Iyer ,customer147@example.com,,
ORD-1559,2025-09-02,Delhi,"$1,852.82",26.0%,3.0,,Yes,Online,Online,INR,P. Nair ,customer559@example.com,,
ORD-1309,2026-03-03,Chennai,"$1,242.25",0.7%,9.0,50.0,Yes,Store,Store,INR,R. Iyer ,customer309@example.com,,
ORD-1343,2025-09-29,Mumbai,"$1,179.01",15.8%,11.0,36.0,Yes,Online,Online,INR,P. Nair ,customer343@example.com,,
ORD-1346,2025-10-03,Kolkata,$571.85,8.0%,7.0,,Yes,Online,Online,INR,R. Iyer ,customer346@example.com,,
ORD-1269,2025-04-11,Kolkata,"$1,777.06",5.4%,1.0,20.0,No,Store,Store,INR,R. Iyer ,customer269@example.com,,
ORD-1261,2025-07-20,Chennai,"$1,133.71",26.8%,6.0,40.0,No,Online,Online,INR,S. Bose,customer261@example.com,,
ORD-1296,2025-06-18,chennai,$553.31,31.0%,10.0,47.0,No,Online,Online,INR,  M. Khan,customer296@example.com,,
ORD-1840,2026-03-12,delhi,"$1,254.07",14.0%,4.0,25.0,No,Online,Online,INR,R. Iyer ,customer840@example.com,,
ORD-1419,2026-02-14,unknown,$328.12,35.0%,1.0,48.0,Yes,Online,Online,INR,S. Bose,customer419@example.com,,
ORD-1871,2025-12-03,unknown,$852.58,27.1%,10.0,,No,Store,Store,INR,  M. Khan,customer871@example.com,,
ORD-1439,2025-10-07,Delhi,"$1,846.47",18.0%,3.0,38.0,No,Online,Online,INR,P. Nair ,customer439@example.com,,
ORD-1852,2031-08-14,Kolkata,$675.88,33.6%,3.0,23.0,No,Partner,Partner,INR,A. Sharma,customer853@example.com,,
ORD-1139,2025-10-29,Kolkata,$658.76,7.2%,8.0,60.0,No,Partner,Partner,INR,S. Bose,customer139@example.com,,
ORD-1842,2026-01-11,Chennai,$361.58,32.0%,11.0,47.0,Yes,Store,Store,INR,R. Iyer ,customer842@example.com,,
ORD-1541,2025-08-24,Bengaluru,$819.32,2.0%,10.0,38.0,No,Store,Store,INR,  M. Khan,customer541@example.com,,
ORD-1236,2025-10-20,Bengaluru,"$1,577.65",19.4%,1.0,42.0,No,Online,Online,INR,A. Sharma,customer236@example.com,,
ORD-1567,2025-06-25,unknown,$819.75,22.2%,2.0,32.0,No,Online,Online,INR,S. Bose,customer567@example.com,,
ORD-1630,2025-10-07,Mumbai,"$1,330.17",8.9%,9.0,44.0,Yes,Store,Store,INR,  M. Khan,customer630@example.com,,
ORD-1831,2025-06-13,Bengaluru,$376.02,17.1%,5.0,42.0,No,Online,Online,INR,A. Sharma,customer831@example.com,,
ORD-1833,2026-01-15,Delhi,$885.70,32.9%,5.0,35.0,No,Store,Store,INR,  M. Khan,customer833@example.com,,
ORD-1244,2026-02-14,Delhi,"$1,140.34",31.8%,10.0,60.0,Yes,Online,Online,INR,R. Iyer ,customer244@example.com,,
ORD-1153,2026-03-09,Bengaluru,"$1,438.40",0.4%,2.0,38.0,No,Store,Store,INR,P. Nair ,customer153@example.com,,
ORD-1007,2025-05-10,Chennai,$628.98,32.0%,3.0,37.0,Yes,Online,Online,INR,  M. Khan,customer7@example.com,,
ORD-1896,2025-05-01,Kolkata,$907.35,2.4%,2.0,16.0,Yes,Online,Online,INR,R. Iyer ,customer896@example.com,,
ORD-1040,2025-11-07,Mumbai,$945.08,4.7%,2.0,24.0,Yes,Store,Store,INR,R. Iyer ,customer40@example.com,,
ORD-1775,2026-03-15,Delhi,$962.02,5.1%,4.0,66.0,No,Online,Online,INR,P. Nair ,customer775@example.com,,
ORD-1666,2025-08-01, Mumbai ,$603.42,4.4%,11.0,53.0,No,Online,Online,INR,A. Sharma,customer666@example.com,,
ORD-1466,2025-04-18,Bengaluru,"$1,366.92",17.9%,10.0,41.0,No,Online,Online,INR,R. Iyer ,customer466@example.com,,
ORD-1295,2025-03-17,Bengaluru,"$2,004.37",0.7%,-1.0,,No,Online,Online,INR,A. Sharma,customer295@example.com,,
ORD-1748,2026-01-04,chennai,"$1,409.89",27.4%,3.0,,No,Online,Online,INR,A. Sharma,customer748@example.com,,
ORD-1360,2025-09-14,Chennai,"$1,531.96",18.6%,9.0,51.0,Yes,Online,Online,INR,  M. Khan,customer360@example.com,,
ORD-1861,2025-03-14,Bengaluru,$527.34,4.5%,11.0,44.0,No,Online,Online,INR,P. Nair ,customer861@example.com,,
ORD-1492,2025-09-05,mumbai,"$2,590.41",15.2%,8.0,51.0,Yes,Store,Store,INR,P. Nair ,customer492@example.com,,
ORD-1639,2025-11-11,Kolkata,$927.43,9.3%,6.0,40.0,No,Online,Online,INR,A. Sharma,customer639@example.com,,
ORD-1179,2026-01-02,Kolkata,"$1,383.46",10.8%,3.0,53.0,No,Online,Online,INR,R. Iyer ,customer179@example.com,,
ORD-1760,2025-07-14,Chennai,N/A,11.5%,8.0,68.0,Yes,Store,Store,INR,  M. Khan,customer760@example.com,,
